Report file: infile8.txt.rpt
100 Jobs:
(1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) 

***********************************************************
1 processor: totalWait=4950, maxWait=99, averageWait=49.50
2 processors: totalWait=2450, maxWait=49, averageWait=24.50
3 processors: totalWait=1617, maxWait=33, averageWait=16.17
4 processors: totalWait=1200, maxWait=24, averageWait=12.00
5 processors: totalWait=950, maxWait=19, averageWait=9.50
6 processors: totalWait=784, maxWait=16, averageWait=7.84
7 processors: totalWait=665, maxWait=14, averageWait=6.65
8 processors: totalWait=576, maxWait=12, averageWait=5.76
9 processors: totalWait=506, maxWait=11, averageWait=5.06
10 processors: totalWait=450, maxWait=9, averageWait=4.50
11 processors: totalWait=405, maxWait=9, averageWait=4.05
12 processors: totalWait=368, maxWait=8, averageWait=3.68
13 processors: totalWait=336, maxWait=7, averageWait=3.36
14 processors: totalWait=308, maxWait=7, averageWait=3.08
15 processors: totalWait=285, maxWait=6, averageWait=2.85
16 processors: totalWait=264, maxWait=6, averageWait=2.64
17 processors: totalWait=245, maxWait=5, averageWait=2.45
18 processors: totalWait=230, maxWait=5, averageWait=2.30
19 processors: totalWait=215, maxWait=5, averageWait=2.15
20 processors: totalWait=200, maxWait=4, averageWait=2.00
21 processors: totalWait=190, maxWait=4, averageWait=1.90
22 processors: totalWait=180, maxWait=4, averageWait=1.80
23 processors: totalWait=170, maxWait=4, averageWait=1.70
24 processors: totalWait=160, maxWait=4, averageWait=1.60
25 processors: totalWait=150, maxWait=3, averageWait=1.50
26 processors: totalWait=144, maxWait=3, averageWait=1.44
27 processors: totalWait=138, maxWait=3, averageWait=1.38
28 processors: totalWait=132, maxWait=3, averageWait=1.32
29 processors: totalWait=126, maxWait=3, averageWait=1.26
30 processors: totalWait=120, maxWait=3, averageWait=1.20
31 processors: totalWait=114, maxWait=3, averageWait=1.14
32 processors: totalWait=108, maxWait=3, averageWait=1.08
33 processors: totalWait=102, maxWait=3, averageWait=1.02
34 processors: totalWait=98, maxWait=2, averageWait=0.98
35 processors: totalWait=95, maxWait=2, averageWait=0.95
36 processors: totalWait=92, maxWait=2, averageWait=0.92
37 processors: totalWait=89, maxWait=2, averageWait=0.89
38 processors: totalWait=86, maxWait=2, averageWait=0.86
39 processors: totalWait=83, maxWait=2, averageWait=0.83
40 processors: totalWait=80, maxWait=2, averageWait=0.80
41 processors: totalWait=77, maxWait=2, averageWait=0.77
42 processors: totalWait=74, maxWait=2, averageWait=0.74
43 processors: totalWait=71, maxWait=2, averageWait=0.71
44 processors: totalWait=68, maxWait=2, averageWait=0.68
45 processors: totalWait=65, maxWait=2, averageWait=0.65
46 processors: totalWait=62, maxWait=2, averageWait=0.62
47 processors: totalWait=59, maxWait=2, averageWait=0.59
48 processors: totalWait=56, maxWait=2, averageWait=0.56
49 processors: totalWait=53, maxWait=2, averageWait=0.53
50 processors: totalWait=50, maxWait=1, averageWait=0.50
51 processors: totalWait=49, maxWait=1, averageWait=0.49
52 processors: totalWait=48, maxWait=1, averageWait=0.48
53 processors: totalWait=47, maxWait=1, averageWait=0.47
